Device,Manufacturer,Device Type,MIDI Role,Message Type,CC# (MSB),CC LSB,NRPN MSB,NRPN LSB,Parameter / Function,Value Range / Units,Notes,MIDI Channel / Mode,Tx/Rx,Source,Source detail
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,36,Waveform,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - LFO 1,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,107,,,,Start Phase,0-127 (unless noted),Appendix B: MIDI - LFO 1,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,37,Start Phase,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - LFO 1,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,108,,,,Trig Mode,0-127 (unless noted),Appendix B: MIDI - LFO 1,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,38,Trig Mode,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - LFO 1,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,109,61,,,Depth,0-127 (unless noted),Appendix B: MIDI - LFO 1 (high-resolution uses CC LSB),Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,39,Depth,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - LFO 1,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,112,,,,Speed,0-127 (unless noted),Appendix B: MIDI - LFO 2,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,40,Speed,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - LFO 2,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,113,,,,Multiplier,0-127 (unless noted),Appendix B: MIDI - LFO 2,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,41,Multiplier,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - LFO 2,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,114,,,,Fade In/Out,0-127 (unless noted),Appendix B: MIDI - LFO 2,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,42,Fade In/Out,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - LFO 2,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,115,,,,Destination,0-127 (unless noted),Appendix B: MIDI - LFO 2,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,43,Destination,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - LFO 2,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,116,,,,Waveform,0-127 (unless noted),Appendix B: MIDI - LFO 2,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,44,Waveform,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - LFO 2,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,117,,,,Start Phase,0-127 (unless noted),Appendix B: MIDI - LFO 2,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,45,Start Phase,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - LFO 2,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,118,,,,Trig Mode,0-127 (unless noted),Appendix B: MIDI - LFO 2,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,46,Trig Mode,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - LFO 2,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,119,63,,,Depth,0-127 (unless noted),Appendix B: MIDI - LFO 2 (high-resolution uses CC LSB),Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,1,47,Depth,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - LFO 2,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,85,,,,Delay Time,0-127 (unless noted),Appendix B: MIDI - DELAY,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,0,Delay Time,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - DELAY,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,86,,,,Pingpong,0-127 (unless noted),Appendix B: MIDI - DELAY,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,1,Pingpong,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - DELAY,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,87,,,,Stereo Width,0-127 (unless noted),Appendix B: MIDI - DELAY,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,2,Stereo Width,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - DELAY,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,88,,,,Feedback,0-127 (unless noted),Appendix B: MIDI - DELAY,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,3,Feedback,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - DELAY,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,89,,,,Highpass Filter,0-127 (unless noted),Appendix B: MIDI - DELAY,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,4,Highpass Filter,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - DELAY,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,90,,,,Lowpass Filter,0-127 (unless noted),Appendix B: MIDI - DELAY,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,5,Lowpass Filter,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - DELAY,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,91,,,,Reverb Send,0-127 (unless noted),Appendix B: MIDI - DELAY,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,6,Reverb Send,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - DELAY,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,92,,,,Mix Volume,0-127 (unless noted),Appendix B: MIDI - DELAY,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,7,Mix Volume,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - DELAY,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,24,,,,Predelay,0-127 (unless noted),Appendix B: MIDI - REVERB,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,8,Predelay,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - REVERB,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,25,,,,Decay Time,0-127 (unless noted),Appendix B: MIDI - REVERB,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,9,Decay Time,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - REVERB,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,26,,,,Shelving Freq,0-127 (unless noted),Appendix B: MIDI - REVERB,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,10,Shelving Freq,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - REVERB,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,27,,,,Shelving Gain,0-127 (unless noted),Appendix B: MIDI - REVERB,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,11,Shelving Gain,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - REVERB,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,28,,,,Highpass Filter,0-127 (unless noted),Appendix B: MIDI - REVERB,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,12,Highpass Filter,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - REVERB,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,29,,,,Lowpass Filter,0-127 (unless noted),Appendix B: MIDI - REVERB,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,13,Lowpass Filter,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - REVERB,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,30,,,,Rev Pre/Post Comp,0-127 (unless noted),Appendix B: MIDI - REVERB,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,14,Rev Pre/Post Comp,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - REVERB,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,31,,,,Mix Volume,0-127 (unless noted),Appendix B: MIDI - REVERB,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,15,Mix Volume,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - REVERB,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,111,,,,Threshold,0-127 (unless noted),Appendix B: MIDI - COMPRESSOR,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,16,Threshold,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - COMPRESSOR,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,112,,,,Attack Time,0-127 (unless noted),Appendix B: MIDI - COMPRESSOR,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,17,Attack Time,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - COMPRESSOR,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,113,,,,Release Time,0-127 (unless noted),Appendix B: MIDI - COMPRESSOR,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,18,Release Time,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - COMPRESSOR,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,114,,,,Makeup Gain,0-127 (unless noted),Appendix B: MIDI - COMPRESSOR,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,19,Makeup Gain,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - COMPRESSOR,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,119,,,,Pattern Volume,0-127 (unless noted),Appendix B: MIDI - COMPRESSOR,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,24,Pattern Volume,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - COMPRESSOR,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,115,,,,Ratio,0-127 (unless noted),Appendix B: MIDI - COMPRESSOR,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,20,Ratio,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - COMPRESSOR,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,116,,,,Sidechain Source,0-127 (unless noted),Appendix B: MIDI - COMPRESSOR,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,21,Sidechain Source,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - COMPRESSOR,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,117,,,,Sidechain Filter,0-127 (unless noted),Appendix B: MIDI - COMPRESSOR,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,22,Sidechain Filter,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - COMPRESSOR,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,118,,,,Dry/Wet Mix,0-127 (unless noted),Appendix B: MIDI - COMPRESSOR,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,23,Dry/Wet Mix,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - COMPRESSOR,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,102,,,,Input L Level,0-127 (unless noted),Appendix B: MIDI - EXTERNAL IN MIXER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,30,Input L Level,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - EXTERNAL IN MIXER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,103,,,,Input L Pan,0-127 (unless noted),Appendix B: MIDI - EXTERNAL IN MIXER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),NRPN,,,2,31,Input L Pan,14-bit NRPN (0-16383) typically scaled internally,Appendix B: MIDI - EXTERNAL IN MIXER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
Digitakt,Elektron,Drum machine / sampler,Target (receives) + Source (sends),CC,104,,,,Input R Level,0-127 (unless noted),Appendix B: MIDI - EXTERNAL IN MIXER,Configurable; track/midi track contexts apply,Tx/Rx,https://www.elektron.se/wp-content/uploads/2024/09/Digitakt_User_Manual_ENG_OS1.51_231108.pdf,Appendix B: MIDI (tables)
